Code,Name,East,North
2606,2606,9490636.36431000000,4265016.17643000000
2607,2607,9491558.84083000000,4262725.55720000000
2609,2609,9500304.13527000000,4270576.92361000000
2611,2611,9478833.91502000000,4261383.01949000000
2612,2612,9495916.36649000000,4272032.90630000000
2614,2614,9487590.15845000000,4276097.14633000000
2615,2615,9485829.51566000000,4277370.75505000000
2617,2617,9490656.61949000000,4278341.92421000000
2618,2618,9488789.52654000000,4293518.58710000000
2619,2619,9500766.68703000000,4260783.39574000000
2621,2621,9521956.72419000000,4262275.03870000000
2622,2622,9570558.55871000000,4265441.15213000000
2623,2623,9517129.98224000000,4227091.94803000000
2625,2625,9417584.03942000000,4137389.74832000000
2626,2626,9497316.07015000000,4199449.04816000000
2628,2628,9458062.07566000000,4157165.72902000000
2629,2629,9464743.09887000000,4185089.70004000000
2630,2630,9500002.26109000000,4174348.77892000000
2631,2631,9504774.50563000000,4122390.76293000000
2632,2632,9495978.62584000000,4094022.48610000000
2633,2633,9458879.76179000000,4091384.64472000000
2640,2640,9289162.73048000000,4194162.58380000000
2641,2641,9292790.87849000000,4190501.55300000000
2643,2643,9266024.88162000000,4199056.72193000000
2644,2644,9340153.73612000000,4219315.66705000000
2645,2645,9234000.44709000000,4268563.58121000000
2646,2646,9230928.75860000000,4214429.57254000000
2647,2647,9208632.74017000000,4195591.58438000000
2648,2648,8858129.39550000000,4455571.24235000000
2649,2649,9414211.64896000000,4174526.23794000000
2650,2650,9336435.86319000000,4291729.77114000000
2651,2651,9342347.87078000000,4289193.69151000000
2653,2653,9387245.92046000000,4223604.90264000000
2655,2655,9309493.41686000000,4275314.72154000000
2656,2656,9269245.36907000000,4280999.70630000000
2658,2658,9289100.52004000000,4253605.68836000000
2659,2659,9288960.35021000000,4221687.92233000000
2660,2660,9310708.65704000000,4231979.80992000000
2661,2661,9325989.38006000000,4288040.35329000000
2663,2663,9353237.82732000000,4320359.01281000000
2665,2665,9284289.14283000000,4381669.15539000000
2666,2666,9354114.49788000000,4376792.99381000000
2668,2668,9336396.26619000000,4405842.16150000000
2669,2669,9263442.82456000000,4441807.17037000000
2671,2671,9331255.25542000000,4430960.23689000000
2672,2672,9237446.50585000000,4485532.83941000000
2675,2675,9160257.71428000000,4497217.82878000000
2678,2678,9332403.44483000000,4298874.72123000000
2680,2680,9205273.94313000000,4381536.66394000000
2681,2681,9221458.18428000000,4394178.36007000000
2700,2700,9253304.53300000000,4322720.95988000000
2701,2701,9322833.08490000000,4336809.71547000000
2702,2702,9303756.21122000000,4328366.56956000000
2703,2703,9245028.73340000000,4347103.97195000000
2705,2705,9234379.04162000000,4360368.51454000000
2706,2706,9215287.16203000000,4341527.04763000000
2707,2707,9177367.06481000000,4335612.19124000000
2711,2711,9103751.92716000000,4396681.50489000000
2712,2712,9195449.65151000000,4222446.36617000000
2713,2713,9168940.86731000000,4239832.70048000000
2714,2714,9164516.42881000000,4217775.24818000000
2715,2715,8997578.49945000000,4417182.75560000000
2716,2716,9187632.24042000000,4281282.65318000000
2717,2717,8846427.35736000000,4395878.83823000000
